Date,AKAM
2015-09-02,0.011926683717888631
2015-09-03,0.02792206520129903
2015-09-04,-0.009282013177003279
2015-09-08,0.023422387783887055
2015-09-09,-0.012520198175272279
2015-09-10,0.01635998094887614
2015-09-11,0.001609592384646641
2015-09-14,-0.00120525432030949
2015-09-15,0.008313155027697139
2015-09-16,-0.005053155170731016
2015-09-17,-0.0024057779458696027
2015-09-18,-0.036039690024157744
2015-09-21,0.0019457872909869334
2015-09-22,-0.020529834966313776
2015-09-23,-0.0009913566664656592
2015-09-24,-0.016302828337868225
2015-09-25,0.01671715913406424
2015-09-28,-0.036711606736360314
2015-09-29,-0.0067686740828364345
2015-09-30,0.023111074942129717
2015-10-01,-0.0014479941739969915
2015-10-02,0.01841653551800726
2015-10-05,0.026911566272363574
