Date,SW
2017-06-13,0.025025920295795867
2017-06-14,0.022380413701021507
2017-06-15,0.0
2017-06-16,0.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,-0.007628546146675963
2017-06-29,0.0
2017-06-30,0.0
2017-07-03,0.0
2017-07-05,0.03409082901679872
2017-07-06,0.0
2017-07-07,-0.015190774643584981
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,-0.005579126785415611
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0006599844969226165
2017-07-28,-0.009564662357483988
2017-07-31,0.0
2017-08-01,0.0
2017-08-02,-0.005993992692165939
2017-08-03,0.0
2017-08-04,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,0.0
2017-08-14,-0.021440406961404146
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-21,0.016774995882950616
2017-08-22,0.0030303369043696016
2017-08-23,-0.0043638297055399455
2017-08-24,0.0
2017-08-25,0.0
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,0.0
2017-09-01,0.03776120520019721
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,-0.012345729556026752
2017-09-08,0.010526292294334327
2017-09-11,0.01171888188633008
2017-09-12,0.019948551257556124
2017-09-13,0.010410031743663062
2017-09-14,0.0
2017-09-15,0.0
2017-09-18,0.0
2017-09-19,0.02403994489003347
2017-09-20,0.0
2017-09-21,0.0
2017-09-22,0.0
2017-09-25,0.0
2017-09-26,0.0
2017-09-27,0.0
2017-09-28,0.008331023880322919
2017-09-29,0.0
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-09,0.0
2017-10-10,0.0
2017-10-11,-0.11128049238440063
2017-10-12,0.0
2017-10-13,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
